name,platform,genre,publisher,developer,rating,year_of_release,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
Carol Vorderman's Sudoku,PSP,Puzzle,Xplosiv,Empire Interactive,E,2006.0,0.05,0.0,0.0,0.01,0.07,72.0,18.0,7.126899879372738,163.0088459991958
AeroFighters Assault,N64,Action,Video System,unknown,E,1997.0,0.15,0.04,0.0,0.0,0.19,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Crew,X360,Racing,Ubisoft,Ivory Tower,T,2014.0,0.06,0.14,0.0,0.02,0.22,68.9971185166625,26.440992232523175,6.4,94.0
Crazy Machines,DS,Puzzle,DTP Entertainment,unknown,E,2008.0,0.0,0.03,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ninokuni: Shikkoku no Madoushi,DS,Role-Playing,Level 5,unknown,E,2010.0,0.0,0.0,0.54,0.0,0.54,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NFL Blitz 20-03,PS2,Sports,Midway Games,Point of View,E,2002.0,0.21,0.17,0.0,0.06,0.44,73.0,15.0,8.6,5.0
Imagine: Party Babyz,Wii,Simulation,Ubisoft,Ubisoft,E,2008.0,0.33,0.02,0.0,0.03,0.37,68.9971185166625,26.440992232523175,6.1,18.0
Crazy Taxi 2,DC,Racing,Sega,Hitmaker,T,2001.0,0.0,0.0,0.07,0.0,0.07,82.0,18.0,8.1,29.0
Pokemon Card GB2: Here Comes Team GR!,GB,Strategy,Nintendo,unknown,E,2001.0,0.0,0.0,0.89,0.0,0.89,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Deca Sports,Wii,Sports,Konami Digital Entertainment,CAProduction,E,2008.0,1.11,0.85,0.29,0.25,2.5,50.0,23.0,5.4,16.0
Transformers: Revenge of the Fallen (DS Versions),DS,Action,Activision,unknown,E,2009.0,0.17,0.13,0.0,0.03,0.33,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Deal or No Deal,Wii,Misc,Zoo Games,Artefacts Studio,E,2009.0,1.2,0.0,0.0,0.09,1.29,56.0,4.0,5.0,5.0
Busou Shinki: Battle Masters,PSP,Action,Konami Digital Entertainment,unknown,E,2010.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Barbie and the Three Musketeers,Wii,Adventure,Activision,Activision,E,2009.0,0.21,0.0,0.0,0.02,0.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Fantasy Aquarium World,Wii,Simulation,Destineer,Coresoft,E,2009.0,0.06,0.0,0.0,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Yaky? Spirits 5,PS3,Sports,Konami Digital Entertainment,unknown,E,2008.0,0.0,0.0,0.11,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Idol Janshi Suchie-Pai Remix,SAT,Misc,Jaleco,unknown,E,1995.0,0.0,0.0,0.1,0.0,0.1,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Destroy All Humans! Path of the Furon,PS3,Action,THQ,unknown,E,2009.0,0.0,0.08,0.0,0.01,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Yaky? Spirits 5,PS2,Sports,Konami Digital Entertainment,unknown,E,2008.0,0.0,0.0,0.18,0.0,0.18,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Katekyoo Hitman Reborn! DS: Fate of Heat - Hono no Unmei,DS,Role-Playing,Takara Tomy,unknown,E,2008.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Poyo Poyo Kansatsu Nikki,3DS,Action,IE Institute,unknown,E,2012.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Warriors Orochi 3,PS3,Action,Ubisoft Annecy,Omega Force,T,2011.0,0.0,0.04,0.57,0.01,0.62,70.0,17.0,7.9,35.0
NHL 16,PS3,Sports,Electronic Arts,unknown,E,2015.0,0.0,0.01,0.0,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Doom 3 BFG Edition,PS3,Shooter,Bethesda Softworks,id Software,M,2012.0,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107.0
LEGO Ninjago: Shadow of Ronin,PSV,Action,Warner Bros. Interactive Entertainment,TT Fusion,E10+,2015.0,0.01,0.08,0.0,0.02,0.11,70.0,5.0,7.126899879372738,163.0088459991958
Banjo-Kazooie: Grunty's Revenge,GBA,Platform,THQ,Rare Ltd.,E,2003.0,0.24,0.09,0.0,0.01,0.33,72.0,21.0,8.1,18.0
Picross DS,DS,Puzzle,Nintendo,Jupiter Corporation,E,2007.0,0.17,0.02,0.3,0.02,0.5,83.0,33.0,8.7,36.0
Kill.Switch,XB,Shooter,Namco Bandai Games,Namco,T,2003.0,0.18,0.05,0.0,0.01,0.24,75.0,26.0,8.0,7.0
Slam Dunk: Yonkyo Taiketsu!!,SNES,Sports,Namco Bandai Games,unknown,E,1994.0,0.0,0.0,0.27,0.0,0.27,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Worldwide Soccer,SAT,Sports,Sega,unknown,E,1994.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Demon Attack,2600,Shooter,Imagic,unknown,E,1981.0,1.99,0.12,0.0,0.02,2.13,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Gex 3: Deep Cover Gecko,PS,Platform,Eidos Interactive,unknown,E,1999.0,0.3,0.2,0.0,0.03,0.53,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Yu Yu Hakusho: Tournament Tactics,GBA,Strategy,Atari,Sensory Sweep,E,2004.0,0.08,0.03,0.0,0.0,0.11,68.9971185166625,26.440992232523175,6.8,8.0
Project X Zone 2: Brave New World,3DS,Role-Playing,Namco Bandai Games,unknown,E,2015.0,0.05,0.03,0.08,0.01,0.17,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
MC Groovz Dance Craze,GC,Misc,Mad Catz,Mad Catz,E,2004.0,0.15,0.04,0.0,0.01,0.2,42.0,8.0,6.8,9.0
Point Blank DS (US sales),DS,Shooter,Atari,unknown,E,2006.0,0.05,0.0,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Smart Bomb,PSP,Puzzle,Eidos Interactive,Core Design Ltd.,E10+,2005.0,0.07,0.0,0.0,0.01,0.08,45.0,19.0,5.4,5.0
Bolt,X360,Adventure,Disney Interactive Studios,Avalanche Software,E10+,2008.0,0.18,0.05,0.0,0.02,0.25,57.0,18.0,7.1,7.0
Active Life: Extreme Challenge,Wii,Sports,Namco Bandai Games,TOSE,E,2009.0,0.14,0.27,0.0,0.06,0.47,56.0,13.0,7.126899879372738,163.0088459991958
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,Shooter,Activision,unknown,E,2010.0,0.38,0.15,0.0,0.05,0.58,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Mobile Suit Gundam Side Story: Missing Link,PS3,Action,Namco Bandai Games,unknown,E,2014.0,0.0,0.0,0.12,0.0,0.12,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Kamigami no Asobi,PSP,Adventure,Broccoli,unknown,E,2013.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
SNK Arcade Classics Vol. 1,PS2,Misc,Ignition Entertainment,SNK Playmore,T,2008.0,0.09,0.07,0.0,0.02,0.19,69.0,16.0,7.126899879372738,163.0088459991958
CyberTiger,PS,Sports,Electronic Arts,unknown,E,1998.0,0.33,0.22,0.0,0.04,0.59,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Need for Speed (2015),XOne,Racing,Electronic Arts,unknown,E,2015.0,0.3,0.33,0.0,0.06,0.69,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Extreme-G,N64,Racing,Acclaim Entertainment,unknown,E,1997.0,0.47,0.11,0.0,0.01,0.59,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
MLB 99,PS,Sports,Sony Computer Entertainment,unknown,E,1998.0,0.48,0.32,0.0,0.06,0.86,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,Strategy,Nippon Ichi Software,unknown,E,2011.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
DreamWorks Super Star Kartz,DS,Racing,Activision,Virtuos,E,2011.0,0.08,0.03,0.0,0.01,0.13,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Cabela's Outdoor Adventures (2009),Wii,Sports,Activision Value,FUN Labs,T,2009.0,0.28,0.0,0.0,0.02,0.31,68.9971185166625,26.440992232523175,7.8,4.0
The Punisher,XB,Action,THQ,unknown,E,2005.0,0.22,0.06,0.0,0.01,0.29,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Arc the Lad: Twilight of the Spirits,PS2,Role-Playing,Sony Computer Entertainment,Cattle Call,T,2003.0,0.18,0.14,0.0,0.05,0.36,72.0,39.0,8.2,33.0
Kelly Slater's Pro Surfer,XB,Sports,Activision,Treyarch,E,2002.0,0.08,0.02,0.0,0.0,0.1,80.0,15.0,8.0,5.0
Monaco Grand Prix,N64,Racing,Ubisoft,unknown,E,1999.0,0.03,0.01,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pac-Man,NES,Puzzle,Namco Bandai Games,unknown,E,1984.0,0.27,0.08,0.85,0.02,1.22,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Doki Majo Plus,DS,Adventure,SNK Playmore,unknown,E,2009.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Deception IV: Blood Ties,PSV,Action,Tecmo Koei,Koei Tecmo Games,M,2014.0,0.02,0.02,0.07,0.01,0.13,67.0,19.0,7.5,61.0
Prehistorik Man,GBA,Platform,THQ,Titus Software,E,2001.0,0.01,0.01,0.0,0.0,0.02,69.0,11.0,7.126899879372738,163.0088459991958
Real Heroes: Firefighter,Wii,Action,Rondomedia,Epicenter Studios,E10+,2009.0,0.56,0.04,0.0,0.05,0.64,67.0,18.0,8.2,10.0
LEGO Star Wars II: The Original Trilogy,XB,Action,LucasArts,Traveller's Tales,E10+,2006.0,0.33,0.1,0.0,0.02,0.44,85.0,27.0,8.6,15.0
UFC: Tapout 2,XB,Fighting,Capcom,DreamFactory,T,2003.0,0.08,0.02,0.0,0.0,0.1,66.0,14.0,7.3,4.0
I Spy: Fun House,DS,Puzzle,Scholastic Inc.,Big Blue Bubble Inc.,E,2007.0,0.76,0.0,0.0,0.06,0.82,53.0,6.0,7.126899879372738,163.0088459991958
Dragon's Lair 3D: Return to the Lair,GC,Platform,THQ,unknown,E,2002.0,0.03,0.01,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
PopStar Guitar,PS2,Misc,XS Games,XS Games,T,2008.0,0.02,0.01,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Golden Compass,X360,Action,Sega,Shiny Entertainment,E10+,2007.0,0.3,0.12,0.0,0.04,0.46,41.0,25.0,4.1,14.0
American Chopper 2: Full Throttle,PS2,Racing,Zoo Digital Publishing,Creat Studios,T,2005.0,0.09,0.07,0.0,0.02,0.18,68.9971185166625,26.440992232523175,8.1,9.0
Magic Pengel: The Quest for Color,PS2,Role-Playing,Taito,Taito Corporation,E,2002.0,0.04,0.03,0.0,0.01,0.07,74.0,24.0,7.5,12.0
DanceMasters,X360,Misc,Konami Digital Entertainment,GCP1,E10+,2010.0,0.15,0.02,0.02,0.01,0.19,63.0,30.0,5.9,7.0
Wrestle Kingdom,PS2,Fighting,Yuke's,unknown,E,2006.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Heavenly Guardian,Wii,Shooter,505 Games,Starfish,E,2007.0,0.06,0.0,0.0,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pursuit Force: Extreme Justice,PSP,Action,Sony Computer Entertainment,Bigbig Studios,T,2007.0,0.07,0.06,0.0,0.03,0.17,73.0,44.0,7.6,11.0
Disney's Tarzan,N64,Platform,Activision,unknown,E,2000.0,0.16,0.04,0.0,0.0,0.2,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Harukanaru Toki no Naka de 6,PSV,Action,Tecmo Koei,unknown,E,2015.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
LEGO City Undercover,3DS,Platform,Nintendo,unknown,E,2013.0,0.52,0.77,0.07,0.11,1.47,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
International Superstar Soccer Deluxe,SNES,Sports,Konami Digital Entertainment,unknown,E,1995.0,0.0,0.0,0.16,0.0,0.16,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
OZMAFIA!! -vivace-,PSV,Adventure,dramatic create,unknown,E,2015.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hurry Up Hedgehog!,DS,Racing,O-Games,unknown,E,2009.0,0.02,0.0,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Spawn: Armageddon,PS2,Action,Electronic Arts,Point of View,M,2003.0,0.22,0.17,0.0,0.06,0.44,56.0,33.0,7.4,21.0
NHL FaceOff 98,PS,Sports,Sony Computer Entertainment,unknown,E,1997.0,0.28,0.19,0.0,0.03,0.51,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dream Chronicles,DS,Adventure,Zoo Games,Kat Games,E,2010.0,0.02,0.0,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Major League Baseball 2K9,PS2,Sports,Spike,2K Sports,E,2009.0,0.08,0.06,0.0,0.02,0.17,68.9971185166625,26.440992232523175,5.4,5.0
Spot Goes to Hollywood,PS,Platform,Virgin Interactive,unknown,E,1996.0,0.04,0.03,0.0,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Sousaku Alice to Oujisama!,3DS,Simulation,Happinet,unknown,E,2015.0,0.0,0.0,0.01,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Sega Smash Pack,GBA,Misc,Atari,CodeFire,E,2002.0,0.23,0.08,0.0,0.01,0.32,60.0,14.0,7.126899879372738,163.0088459991958
Over the Hedge,GBA,Platform,Activision,Vicarious Visions,E,2006.0,0.19,0.07,0.0,0.0,0.27,49.0,11.0,7.126899879372738,163.0088459991958
Bakumatsu Rock: Ultra Soul,PSP,Misc,Marvelous Interactive,unknown,E,2014.0,0.0,0.0,0.01,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Simpsons: Road Rage,GBA,Racing,THQ,Altron,E,2003.0,0.86,0.32,0.0,0.02,1.19,55.0,14.0,6.8,9.0
Madden NFL 11,PS3,Sports,Electronic Arts,EA Tiburon,E,2010.0,2.04,0.15,0.0,0.2,2.38,83.0,36.0,6.1,68.0
World Championship Poker,XB,Misc,Crave Entertainment,Coresoft,E,2004.0,0.37,0.11,0.0,0.02,0.51,66.0,7.0,7.126899879372738,163.0088459991958
TOCA Race Driver 3,PS2,Racing,Codemasters,Codemasters,E10+,2006.0,0.04,0.03,0.0,0.01,0.08,82.0,26.0,7.2,15.0
LEGO Rock Raiders,PS,Strategy,LEGO Media,unknown,E,1999.0,0.06,0.04,0.0,0.01,0.1,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Santa Claus Is Comin' to Town!,Wii,Puzzle,Crave Entertainment,1st Playable Productions,E,2011.0,0.06,0.0,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Need for Speed Carbon,Wii,Racing,Electronic Arts,EA Canada,E10+,2006.0,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0
Knights of Honor,PC,Strategy,Sunflowers,Black Sea Studios,E10+,2004.0,0.0,0.02,0.0,0.01,0.03,77.0,26.0,9.1,89.0
NFL Fever 2004,XB,Sports,Microsoft Game Studios,Microsoft Game Studios,E,2003.0,0.24,0.07,0.0,0.01,0.32,74.0,29.0,8.8,16.0
Mega Man 8 Anniversary Collector's Edition,SAT,Platform,Capcom,unknown,E,1997.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Summer Athletics: The Ultimate Challenge (US sales),Wii,Sports,DTP Entertainment,unknown,E,2008.0,0.23,0.03,0.0,0.0,0.27,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tiger Woods PGA Tour 06,X360,Sports,Electronic Arts,EA Sports,E,2005.0,0.28,0.0,0.0,0.02,0.31,71.0,36.0,7.4,8.0
Donkey Kong Jungle Climber,DS,Platform,Nintendo,unknown,E,2007.0,0.25,0.03,0.24,0.03,0.55,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ben 10 Alien Force: Vilgax Attacks,PS2,Action,D3Publisher,Papaya Studios,E10+,2009.0,0.11,0.03,0.0,0.15,0.29,68.9971185166625,26.440992232523175,7.0,4.0
Shiratsuyu no Kai,PSP,Adventure,Idea Factory,unknown,E,2013.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
LEGO The Hobbit,PS4,Action,Warner Bros. Interactive Entertainment,TT Games,E10+,2014.0,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0
Vandal Hearts,PS,Role-Playing,Konami Digital Entertainment,unknown,E,1996.0,0.14,0.09,0.19,0.03,0.45,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,Io Interactive,M,2002.0,1.36,1.15,0.04,0.41,2.96,85.0,19.0,7.8,78.0
World in Conflict: Complete Edition,PC,Strategy,Ubisoft,Massive Entertainment,T,2009.0,0.0,0.03,0.0,0.01,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tokimeki Memorial: Girl's Side 2nd Season,DS,Adventure,Konami Digital Entertainment,unknown,E,2008.0,0.0,0.0,0.11,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Mortal Kombat: Shaolin Monks,XB,Action,Midway Games,Midway Studios - Los Angeles,M,2005.0,0.23,0.07,0.0,0.01,0.31,78.0,37.0,6.6,19.0
We Sing Deutsche Hits,Wii,Misc,Nordic Games,unknown,E,2011.0,0.0,0.29,0.0,0.04,0.33,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Just Dance,Wii,Misc,Ubisoft,Ubisoft Paris,E10+,2009.0,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0
Sabrina The Teenage Witch: Potion Commotion,GBA,Action,Ubisoft,Ubisoft,E,2002.0,0.08,0.03,0.0,0.0,0.11,63.0,5.0,2.8,6.0
SoulCalibur IV,X360,Fighting,Ubisoft,Namco,T,2008.0,0.92,0.43,0.07,0.15,1.58,85.0,62.0,7.9,157.0
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,Misc,Namco Bandai Games,unknown,E,2010.0,0.0,0.0,0.42,0.0,0.42,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ready 2 Rumble Boxing: Round 2,PS2,Fighting,Midway Games,Midway,T,2000.0,0.4,0.31,0.0,0.1,0.81,75.0,20.0,7.126899879372738,163.0088459991958
True Crime: Streets of LA,XB,Action,Activision,"Luxoflux, Inc.",M,2003.0,0.96,0.37,0.0,0.05,1.38,77.0,39.0,7.8,28.0
Burnout Paradise: The Ultimate Box,X360,Racing,Electronic Arts,unknown,E,2009.0,0.0,0.03,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
CSI: Deadly Intent - The Hidden Cases,DS,Adventure,Ubisoft,unknown,E,2009.0,0.16,0.15,0.0,0.04,0.35,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Jikkyou Powerful Major League 2009,Wii,Sports,Konami Digital Entertainment,unknown,E,2009.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Major League Baseball 2K13,PS3,Sports,Take-Two Interactive,unknown,E,2013.0,0.14,0.0,0.0,0.02,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Harry Potter and the Deathly Hallows - Part 1,X360,Action,Electronic Arts,EA Bright Light,T,2010.0,0.21,0.2,0.0,0.04,0.45,38.0,42.0,5.0,46.0
Thomas & Friends: Hero of the Rails,DS,Misc,Unknown,unknown,E,2010.0,0.0,0.07,0.0,0.01,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Halo: Combat Evolved Anniversary,X360,Shooter,Microsoft Game Studios,343 Industries,M,2011.0,1.44,0.7,0.04,0.22,2.4,82.0,73.0,8.1,487.0
The Magic School Bus: Oceans,DS,Adventure,Scholastic Inc.,CokeM Interactive,E,2011.0,0.2,0.0,0.0,0.02,0.21,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,Adventure,Alchemist,unknown,E,2010.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Qubed,X360,Puzzle,Atari,Q Entertainment,E,2009.0,0.07,0.0,0.0,0.01,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Action,Ubisoft,Ubisoft Shanghai,T,2004.0,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0
Harry Potter and the Goblet of Fire,PSP,Action,Electronic Arts,Electronic Arts,E10+,2005.0,0.17,0.0,0.0,0.02,0.19,70.0,13.0,7.4,16.0
